timestamp_ns,timestamp_s,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
0,0.0,0.08057078279212693,0.012029174430039747,0.12517212591244803,0.002846431047363901,-0.29502532836140316,9.87359699147756
5000000,0.005,0.0735059582986288,0.005956275602636704,0.13065436488019622,-0.03509598596306667,-0.5427868204014573,9.537862517046598
10000000,0.01,0.0743418728196162,0.01528248997882531,0.1264790707376741,-0.1482459454302431,-0.2532688317921036,9.61883764732459
15000000,0.015,0.07568552732889951,0.00928470109794799,0.12234352441487079,-0.04365097423022753,-0.5428367507839055,9.59357975529558
20000000,0.02,0.07889729787497365,0.012863038769714771,0.12416031323401487,-0.026525876929374193,-0.5117522399315798,9.827052972674023
25000000,0.025,0.07574578363249908,0.013160351388258008,0.12756512826090333,-0.1448260506708583,-0.2854202690687202,9.624573858455573
30000000,0.03,0.07617676197969867,0.004793293451385046,0.12592913687073695,-0.08407776507317825,-0.03461269744059048,9.410368044225164
35000000,0.035,0.07615943894329662,0.013248195627553534,0.12457211883106781,-0.19527093973912968,-0.3235790144844928,9.910112146583785
40000000,0.04,0.07488255533680842,0.008332303040931119,0.12610848231518101,-0.040982797087841125,-0.21244319769392644,9.781187663356176
45000000,0.045,0.07527465352824084,0.011548160262579132,0.12647354050083967,-0.04837261017020789,-0.25664519305490885,9.508905349978905
50000000,0.05,0.07298305288814542,0.009187175670892245,0.12686054017399104,0.02514142594887317,-0.3714581721104706,9.97848200313127
55000000,0.055,0.07805144605903747,0.007400479152781901,0.12722855415714612,-0.2389102943151977,-0.17260258526920802,9.64990270312643
60000000,0.06,0.07642483477857298,0.011954848848522482,0.12466809592064432,-0.053832990400349265,-0.12575925391909568,9.604793645481081
65000000,0.065,0.07895848599507292,0.008747388582071542,0.12932212325247397,0.17132632924486438,-0.16604456065187354,9.611053363107654
70000000,0.07,0.07642887317004969,0.013502177962517056,0.1266403310813864,-0.12915661872549805,-0.33639955150193723,9.653543446237027
75000000,0.075,0.07694946712357188,0.011050261264450127,0.12421471230279403,-0.007910416265617656,-0.3477637651477202,9.627696578630557
80000000,0.08,0.07573901469254747,0.00811718184236213,0.12762725054397825,-0.06803634378352,-0.3994581640284597,9.803443775877453
85000000,0.085,0.0771527019824987,0.014656110692671266,0.12931886866023803,-0.29506698838447454,-0.3526630832896594,9.851589513368745
90000000,0.09,0.07744223703837744,0.0069767421317718115,0.12529064958349043,-0.21144797375330146,-0.2502569776358846,9.709963812283787
