timestamp_ns,timestamp_s,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,vel_x,vel_y,vel_z,roll,pitch,yaw
0,0.0,6.5,8.0,1.8,0.9870874576374967,0.0,0.0,0.16018224300696723,0.8999999999999999,0.30000000000000004,0.32000000000000006,0.0,0.0,0.32175055439664224
5000000,0.005,6.50449957643752,8.001496624750633,1.801598648934346,0.9871409969695303,0.00015259287226969834,0.00011334977387130177,0.15985185632092488,0.89983023751601,0.2986498505062625,0.31945936081021303,0.0003374997152344471,0.000174999910677097,0.3210811906947471
10000000,0.01,6.508998299000323,8.002986498010126,1.8031945914828735,0.987194492879382,0.0003052609311675215,0.0002265967969138533,0.15952080960888876,0.8996584501295999,0.2972994040501982,0.31891744648340176,0.0006749977218773067,0.0003499992854171044,0.32041059681103234
15000000,0.015,6.513496157564148,8.004469618301261,1.8047878212820643,0.9872479450479074,0.0004580035264691356,0.000339740339091251,0.1591891007825473,0.8994846379425255,0.2959486636697487,0.3183742618871915,0.0010124923113456407,0.0005249975882845736,0.319738768574638
20000000,0.02,6.517993142005257,8.005945984162013,1.8063783319927504,0.9873013531528998,0.0006108200079549391,0.00045277966992791793,0.15885672775158619,0.8993088010610994,0.2945976324031417,0.31782981189424003,0.0013499817750738114,0.0006999942833473391,0.31906570180962335
25000000,0.025,6.522489242200453,8.007415594145547,1.8079661173001411,0.9873547168690727,0.000763709725411088,0.0005657140585126471,0.15852368842369496,0.8991309395961897,0.29324631328888456,0.3172841013821939,0.0016874644045221287,0.0008749888346781589,0.3183913923349777
30000000,0.03,6.526984448027106,8.00887844682022,1.8095511709138448,0.9874080358680412,0.0009166720286304987,0.0006785427735021709,0.15818998070457327,0.8989510536632207,0.2918947093657572,0.3167371352336444,0.0020249384911855016,0.0010499807063563565,0.31771583596463027
35000000,0.035,6.5314787493631705,8.010334540769588,1.8111334865678954,0.9874613098183049,0.0010697062674138265,0.0007912650831247583,0.15785560249793806,0.8987691433821727,0.2905428236728053,0.316188918336084,0.0023624023266020887,0.0012249693624694616,0.31703902850746146
40000000,0.04,6.535972136087221,8.011783874592396,1.8127130580207775,0.9875145383852292,0.0012228117915704122,0.0009038802551838356,0.15752055170552995,0.8985852088775815,0.2891906592493337,0.3156394555818622,0.0026998542023619417,0.0013999542671148512,0.3163609657673137
45000000,0.045,6.540464598078456,8.013226446902596,1.814289879055448,0.9875677212310265,0.0013759879509192136,0.0010163875570616398,0.15718482622712054,0.8983992502785387,0.28783821913489926,0.31508875186814195,0.003037292410115662,0.0015749348844013922,0.31568164354300304
50000000,0.05,6.544956125216738,8.014662256329327,1.8158639434793626,0.9876208580147404,0.0015292340952897043,0.0011287862557228928,0.15684842396051943,0.8982112677186912,0.28648550636930437,0.3145368120968557,0.003374715241583043,0.0017499106784510804,0.31500105762833014
55000000,0.055,6.5494467073826055,8.016091301516937,1.8174352451244982,0.9876739483922244,0.0016825495745227486,0.0012410756177185071,0.15651134280158127,0.8980212613362414,0.28513252399258954,0.3139836411746615,0.0037121209885617214,0.0019248811134006838,0.31431920381209244
60000000,0.06,6.5539363344573,8.01751358112497,1.8190037778473764,0.987726992016126,0.001835933738471452,0.0013532549091893162,0.15617358064421338,0.8978292312739466,0.28377927504502715,0.3134292440128986,0.004049507942935822,0.0020998456534033817,0.3136360778780959
65000000,0.065,6.55842499632279,8.01892909382817,1.8205695355290876,0.9877799885358666,0.001989385937001985,0.001465323395869836,0.1558351353803832,0.8976351776791199,0.28242576256711444,0.3128736255275447,0.004386874396684611,0.0022748037626304073,0.3129516756051677
70000000,0.07,6.56291268286179,8.020337838316491,1.8221325120753131,0.9878329375976242,0.0021429055199943823,0.0015772803430920486,0.15549600490012594,0.8974391007036284,0.2810719895995665,0.3123167906391706,0.004724218641891137,0.002449754905272688,0.31226599276716827
75000000,0.075,6.567399383957786,8.021739813295085,1.8236927014163493,0.9878858388443137,0.0022964918373433135,0.0016891250157892194,0.15515618709155224,0.8972410005038944,0.27971795918330955,0.31175874427289724,0.005061538970750877,0.0026246985455424857,0.31157902513300456
80000000,0.08,6.571885089495057,8.02313501748431,1.8252500975071282,0.9879386919155688,0.002450144238958829,0.0018008566784997397,0.15481567984085656,0.8970408772408944,0.2783636743594742,0.31119949135835123,0.005398833675580388,0.002799634147675039,0.310890768466643
85000000,0.085,6.576369789358699,8.024523449619736,1.8268046943272422,0.9879914964477232,0.002603862074767083,0.0019124745953709968,0.1544744810323248,0.8968387310801597,0.27700913816938844,0.310639036829621,0.005736101048825948,0.0029745611759302033,0.31020121852712257
90000000,0.09,6.5808534734346456,8.02590510845213,1.8283564858809647,0.9880442520737917,0.0027576446947110214,0.0020239780301632743,0.1541325885483428,0.8966345621917748,0.27565435365457097,0.3100773856252129,0.006073339383072197,0.0031494790945940914,0.30951037106856877
95000000,0.095,6.5853361316096946,8.027279992747475,1.8299054661972727,0.9880969584234509,0.0029114914487510563,0.002135366246253678,0.15379000026940454,0.8964283707503791,0.2742993238567241,0.309514542688007,0.0064105469710507915,0.003324387367980713,0.3088182218402071
100000000,0.1,6.589817753771525,8.028648101286961,1.8314516293298686,0.9881496151230206,0.0030654016868657,0.0022466385066400966,0.15344671407412097,0.8962201569351649,0.2729440518177273,0.308950512965213,0.006747722105649036,0.003499285460433619,0.30812476658637755
105000000,0.105,6.594298329808728,8.030009432866988,1.8329949693572012,0.9882022217954445,0.003219374759052182,0.0023577940739451836,0.1531027278392286,0.896009920929878,0.27158854057963,0.30838530140832643,0.007084863079918531,0.003674172836327538,0.3074300010465492
110000000,0.11,6.598777849610821,8.031363986299164,1.8345354803824878,0.9882547780602708,0.0033734100153270355,0.002468832210420374,0.15275803943959823,0.8957976629228176,0.27023279318464494,0.30781891297308445,0.007421968187083817,0.003849048960070017,0.3067339209553344
115000000,0.115,6.6032563030682745,8.032711760410312,1.8360731565337345,0.988307283533634,0.003527506805726658,0.0025797521779499268,0.15241264674824398,0.8955833831068354,0.2688768126751414,0.30725135261942166,0.007759035720551007,0.0040239132961030636,0.3060365220425042
